Length / nm,Width / nm,Layer Number
140,100,7.89474
300,175,7.89474
110,55,7.89474
190,75,7.89474
220,125,7.89474
215,120,7.89474
135,120,7.89474
700,70,7.89474
580,140,7.89474
65,55,7.89474
300,250,8.42105
215,105,8.42105
90,80,8.42105
95,80,8.42105
145,70,8.42105
205,180,8.42105
135,80,8.42105
300,95,8.42105
170,100,8.42105
160,90,8.94737
110,60,8.94737
130,55,8.94737
100,60,8.94737
80,50,8.94737
150,70,8.94737
300,150,8.94737
155,100,8.94737
250,150,9.47368
130,90,9.47368
350,170,9.47368
90,60,9.47368
130,90,9.47368
420,220,9.47368
260,125,9.47368
140,90,10
125,55,10
175,150,10
175,80,10
410,175,10
190,140,10
250,110,10
350,145,10
80,75,10.52632
78,65,10.52632
145,125,10.52632
155,140,10.52632
230,120,10.52632
145,140,10.52632
600,330,10.52632
150,80,11.05263
140,125,11.05263
330,150,11.05263
240,110,11.05263
270,150,11.05263
200,120,11.57895
480,290,11.57895
260,240,11.57895
220,145,11.57895
115,110,11.57895
185,105,12.10526
380,280,12.10526
165,110,12.10526
120,75,12.63158
200,180,12.63158
165,150,12.63158
225,135,13.15789
150,110,13.15789
100,60,13.68421
215,180,13.68421
320,110,14.21053
115,110,14.21053
330,145,14.21053
170,130,14.73684
100,90,14.73684
420,145,14.73684
240,190,14.73684
75,65,15.26316
190,130,15.26316
215,200,15.78947
245,100,15.78947
80,78,16.31579
160,145,16.31579
160,150,16.84211
130,90,16.84211
460,170,17.36842
450,300,17.89474
80,75,18.42105
1300,640,18.42105
260,220,18.42105
250,80,19.47368
200,140,20.52632
180,80,21.05263
190,80,21.05263
175,105,21.57895
250,105,23.68421
520,210,27.36842
540,220,28.94737
170,155,31.57895
310,220,52.63158
